seed,keep_signals,n_signals,test_acc,test_bal_acc,test_f1,test_roc_auc,test_avg_precision,final_train_acc,final_val_acc
1,"('ECG_mV',)",1,0.6296296296296297,0.6688034188034189,0.631578947368421,0.6547958214624882,0.532148838681565,0.6579861111111112,0.5163398692810458
2,"('ECG_mV',)",1,0.38095238095238093,0.5,0.5517241379310345,0.6140788224121558,0.6243316252353974,0.6423611111111112,0.3660130718954248
3,"('ECG_mV',)",1,0.38095238095238093,0.5,0.5517241379310345,0.5798907882241217,0.519109059515446,0.6059027777777778,0.5294117647058824
4,"('ECG_mV',)",1,0.708994708994709,0.6901709401709402,0.6153846153846154,0.7573599240265907,0.6892021253579056,0.640625,0.43137254901960786
5,"('ECG_mV',)",1,0.5185185185185185,0.5202991452991452,0.4550898203592814,0.6195394112060779,0.6045876059773208,0.7708333333333334,0.7581699346405228
1,"('Fingerpulse',)",1,0.5502645502645502,0.545940170940171,0.4720496894409938,0.4521604938271605,0.3526509704483265,0.6892361111111112,0.6862745098039216
2,"('Fingerpulse',)",1,0.5873015873015873,0.5651709401709402,0.4657534246575342,0.5569800569800569,0.42982409047711667,0.6736111111111112,0.6993464052287581
3,"('Fingerpulse',)",1,0.5238095238095238,0.500534188034188,0.3918918918918919,0.5105650522317189,0.3824023276120505,0.6423611111111112,0.6928104575163399
4,"('Fingerpulse',)",1,0.5079365079365079,0.4423076923076923,0.20512820512820512,0.4356600189933523,0.4082378174937299,0.6805555555555556,0.6339869281045751
5,"('Fingerpulse',)",1,0.7037037037037037,0.6645299145299146,0.5625,0.6540835707502374,0.6280773303720534,0.6059027777777778,0.8431372549019608
1,"('Cannula',)",1,0.6402116402116402,0.6372863247863247,0.569620253164557,0.747269705603039,0.6010432067182983,0.625,0.6928104575163399
2,"('Cannula',)",1,0.38095238095238093,0.5,0.5517241379310345,0.7129629629629629,0.551776748322943,0.6684027777777778,0.6666666666666666
3,"('Cannula',)",1,0.746031746031746,0.7361111111111112,0.6756756756756757,0.8265669515669516,0.7963669604227555,0.6458333333333334,0.7254901960784313
4,"('Cannula',)",1,0.6772486772486772,0.6137820512820513,0.45045045045045046,0.6742640075973408,0.6618837161460782,0.6527777777777778,0.6928104575163399
5,"('Cannula',)",1,0.6772486772486772,0.5950854700854701,0.3711340206185567,0.7289886039886041,0.6208512588650925,0.6666666666666666,0.8104575163398693
1,"('Thermopod',)",1,0.41798941798941797,0.47382478632478636,0.4811320754716981,0.4821937321937322,0.38898079589159773,0.5902777777777778,0.6666666666666666
2,"('Thermopod',)",1,0.5661375661375662,0.5534188034188035,0.4675324675324675,0.5841642924976259,0.40529245754474125,0.625,0.46405228758169936
3,"('Thermopod',)",1,0.5925925925925926,0.5347222222222222,0.35294117647058826,0.5872507122507122,0.5052608738954203,0.6215277777777778,0.5032679738562091
4,"('Thermopod',)",1,0.6772486772486772,0.6004273504273505,0.39603960396039606,0.762226970560304,0.583464782912613,0.5260416666666666,0.33986928104575165
5,"('Thermopod',)",1,0.3862433862433862,0.5042735042735043,0.5538461538461539,0.8051994301994301,0.7518856422989763,0.5225694444444444,0.477124183006536
1,"('ECG_mV', 'Fingerpulse')",2,0.6878306878306878,0.7024572649572649,0.650887573964497,0.7147435897435896,0.5882846434804714,0.7881944444444444,0.7581699346405228
2,"('ECG_mV', 'Fingerpulse')",2,0.6507936507936508,0.6458333333333333,0.5769230769230769,0.666547958214625,0.4758154807371922,0.7135416666666666,0.5686274509803921
3,"('ECG_mV', 'Fingerpulse')",2,0.5925925925925926,0.5534188034188035,0.42105263157894735,0.6696343779677113,0.5073717534369472,0.8038194444444444,0.9150326797385621
4,"('ECG_mV', 'Fingerpulse')",2,0.6825396825396826,0.642094017094017,0.53125,0.6958689458689459,0.6493340241565504,0.8402777777777778,0.6274509803921569
5,"('ECG_mV', 'Fingerpulse')",2,0.7883597883597884,0.7569444444444444,0.6923076923076923,0.7973646723646723,0.8060717195049459,0.7864583333333334,0.7973856209150327
1,"('ECG_mV', 'Cannula')",2,0.7248677248677249,0.6816239316239316,0.5806451612903226,0.7501187084520418,0.7360773751641757,0.65625,0.6274509803921569
2,"('ECG_mV', 'Cannula')",2,0.5238095238095238,0.6153846153846154,0.6153846153846154,0.7513057929724596,0.5834270175996635,0.6770833333333334,0.5163398692810458
3,"('ECG_mV', 'Cannula')",2,0.38095238095238093,0.5,0.5517241379310345,0.7777777777777779,0.7168281261293251,0.6145833333333334,0.4117647058823529
4,"('ECG_mV', 'Cannula')",2,0.7566137566137566,0.7152777777777777,0.6290322580645161,0.7923789173789174,0.7800676419699035,0.6631944444444444,0.6601307189542484
5,"('ECG_mV', 'Cannula')",2,0.6507936507936508,0.6378205128205128,0.56,0.6726020892687559,0.6896855682303772,0.7621527777777778,0.7843137254901961
1,"('ECG_mV', 'Thermopod')",2,0.5079365079365079,0.5090811965811965,0.4431137724550898,0.5452279202279202,0.4448768317962352,0.6631944444444444,0.6666666666666666
2,"('ECG_mV', 'Thermopod')",2,0.38095238095238093,0.5,0.5517241379310345,0.5845204178537511,0.42919452437890393,0.6371527777777778,0.48366013071895425
3,"('ECG_mV', 'Thermopod')",2,0.43386243386243384,0.5053418803418803,0.5201793721973094,0.5309829059829061,0.5362453679922559,0.6163194444444444,0.5098039215686274
4,"('ECG_mV', 'Thermopod')",2,0.38095238095238093,0.5,0.5517241379310345,0.741690408357075,0.6010566770439465,0.625,0.40522875816993464
5,"('ECG_mV', 'Thermopod')",2,0.5132275132275133,0.5400641025641025,0.5053763440860215,0.6697530864197531,0.6968430933928089,0.7378472222222222,0.7189542483660131
1,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.5555555555555556,0.5555555555555556,0.4878048780487805,0.5777540360873694,0.4196187466941603,0.7569444444444444,0.7254901960784313
2,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.5661375661375662,0.5827991452991452,0.5340909090909091,0.616215574548908,0.43892648973734516,0.7170138888888888,0.5555555555555556
3,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.6137566137566137,0.5731837606837606,0.44274809160305345,0.6435185185185186,0.49519428828278644,0.7743055555555556,0.7973856209150327
